,HRM_HEART_RATE,HRM_RESPERATION_RATE,HRM_POSTURE
2018-08-02 12:55:09.447000027,104.00000,26.80000,-168.00000
2018-08-02 12:55:10.457999945,105.00000,27.20000,-172.00000
2018-08-02 12:55:11.447000027,106.00000,27.20000,-173.00000
2018-08-02 12:55:12.454999924,106.00000,27.40000,-173.00000
2018-08-02 12:55:13.447000027,104.00000,27.40000,-173.00000
2018-08-02 12:55:14.451999903,102.00000,24.70000,-172.00000
2018-08-02 12:55:15.450999975,100.00000,24.70000,-170.00000
2018-08-02 12:55:16.467999935,98.00000,22.80000,-170.00000
2018-08-02 12:55:17.460000038,97.00000,22.80000,-169.00000
2018-08-02 12:55:18.450000048,101.00000,21.70000,-169.00000
2018-08-02 12:55:19.461999893,101.00000,21.70000,-168.00000
2018-08-02 12:55:20.464999914,100.00000,21.10000,-169.00000
2018-08-02 12:55:21.469000101,98.00000,21.10000,-168.00000
2018-08-02 12:55:22.463999987,96.00000,21.10000,-167.00000
2018-08-02 12:55:23.469000101,95.00000,21.10000,-167.00000
2018-08-02 12:55:24.457999945,96.00000,21.40000,-167.00000
2018-08-02 12:55:25.457999945,98.00000,21.40000,-168.00000
2018-08-02 12:55:26.461999893,95.00000,21.90000,-170.00000
2018-08-02 12:55:27.467000008,96.00000,21.90000,-172.00000
2018-08-02 12:55:28.470000029,98.00000,22.40000,-172.00000
2018-08-02 12:55:29.450999975,101.00000,22.40000,-172.00000
2018-08-02 12:55:30.454999924,102.00000,22.40000,-172.00000
2018-08-02 12:55:30.456000090,102.00000,22.90000,-172.00000
2018-08-02 12:55:31.453999996,103.00000,22.90000,-172.00000
2018-08-02 12:55:32.463000059,102.00000,23.60000,-171.00000
2018-08-02 12:55:33.464999914,100.00000,23.60000,-170.00000
2018-08-02 12:55:34.459000111,99.00000,24.80000,-170.00000
2018-08-02 12:55:35.447000027,97.00000,24.80000,-170.00000
2018-08-02 12:55:36.451999903,96.00000,25.90000,-170.00000
2018-08-02 12:55:37.457999945,95.00000,25.90000,-170.00000
2018-08-02 12:55:38.460999966,95.00000,26.60000,-170.00000
2018-08-02 12:55:39.467999935,94.00000,26.60000,-172.00000
2018-08-02 12:55:40.466000080,93.00000,27.90000,-172.00000
2018-08-02 12:55:41.470999956,92.00000,27.90000,-172.00000
2018-08-02 12:55:42.451999903,92.00000,28.70000,-171.00000
2018-08-02 12:55:43.447999954,91.00000,28.70000,-172.00000
2018-08-02 12:55:44.463999987,92.00000,29.40000,-170.00000
2018-08-02 12:55:45.467999935,91.00000,29.40000,-172.00000
2018-08-02 12:55:46.463999987,91.00000,30.10000,-172.00000
2018-08-02 12:55:47.472000122,90.00000,30.10000,-172.00000
2018-08-02 12:55:48.449000120,90.00000,30.90000,-172.00000
2018-08-02 12:55:49.450000048,90.00000,30.90000,-171.00000
2018-08-02 12:55:50.457000017,90.00000,32.00000,-172.00000
2018-08-02 12:55:51.466000080,88.00000,32.00000,-172.00000
2018-08-02 12:55:52.470999956,88.00000,33.00000,-172.00000
2018-08-02 12:55:53.447999954,88.00000,33.00000,171.00000
2018-08-02 12:55:54.450999975,88.00000,33.60000,-172.00000
2018-08-02 12:55:55.453999996,89.00000,33.60000,-172.00000
2018-08-02 12:55:56.460999966,89.00000,33.90000,-172.00000
2018-08-02 12:55:57.463999987,89.00000,33.90000,170.00000
2018-08-02 12:55:58.466000080,89.00000,34.10000,170.00000
2018-08-02 12:55:59.467999935,88.00000,34.10000,170.00000
2018-08-02 12:56:00.453999996,86.00000,33.70000,170.00000
2018-08-02 12:56:01.457000017,87.00000,33.70000,-170.00000
2018-08-02 12:56:02.467999935,89.00000,33.00000,-170.00000
